,MH
54702,-0.36000001
54717,-1.75
54801,-0.81
55024,-0.17
55076,-0.33000001
55359,-0.56999999
55834,0.25999999
55932,-0.47999999
56086,-0.50999999
57958,-1.5599999
58000,-0.79000002
59304,0.13
59431,-0.75
60369,0.0
61137,-0.65499997
62201,-0.36000001
62322,-0.50999999
63207,-0.37
64287,-0.67000002
64713,-0.039999999
65014,-0.58999997
65686,-0.050000000999999995
66909,-0.31999999
67010,0.14
67904,-0.029999999
67969,-0.23999999
68098,0.12
69059,-0.22
70072,-0.46000001
70106,-0.19
71207,-0.25
71543,-0.61000001
72320,-0.050000000999999995
72373,0.14
72619,0.25
72831,0.23999999
72895,-1.48
73500,-0.57999998
74232,0.0
74589,-0.27000001
74630,-0.38
75892,-0.34
76130,-0.07
76725,-0.37
76853,-0.059999999000000005
76999,-0.029999999
77051,-0.28
77595,-0.56999999
77666,-0.79000002
77943,-0.22
78241,-0.56
78728,-0.505
79287,-0.74000001
80151,-0.19
80685,-0.36000001
82300,-0.25999999
82322,-0.28999999
82441,0.22
82560,-0.30000001
83158,-0.36000001
83516,-0.28999999
83657,0.0099999998
84394,-0.46000001
84557,-0.69
84567,-0.83999997
84769,-0.059999999000000005
86223,-0.46000001
86542,-0.30000001
1287,-0.47
1825,-1.0599999
3991,-1.47
4169,-0.44999999
5007,-0.17
5266,0.0099999998
5536,-0.30362001
6481,0.11
6557,-0.0099999998
7582,-0.75
7630,0.029999999
8032,-0.22
8072,-0.91000003
8113,0.37
9427,-0.51999998
10685,-0.43000001
11165,-0.11
11782,-0.075000003
12522,-0.0099999998
12831,-0.19
12947,-0.34999999
13095,-0.17
13777,-0.07
15509,-0.23
15621,0.11
16357,-0.55000001
16532,-0.34
16785,-0.43000001
17154,-0.34999999
17940,-0.22
18097,-1.04
18616,-0.25
18683,-1.08
19794,0.07
20165,0.20999999
20526,-0.19
20637,-0.38999999
20771,-0.44999999
20918,-0.98000002
21128,-0.28999999
21141,-0.56
21637,-0.1
22974,0.23
23812,-0.51999998
23864,-0.56999999
24664,-0.20999999
24683,-0.80000001
24856,-0.95999998
24940,-0.40000001
25084,-0.75
25146,0.27000001
25898,-0.12
25927,-0.46000001
26163,-0.60000002
26679,0.27000001
27322,-1.6799998999999999
27357,-0.68000001
27362,-1.4
27373,-0.16
27950,-0.41
28480,-0.50351697
28521,-1.53
29659,-0.72000003
29890,-0.77999997
30707,-0.81999999
31338,-0.30000001
31538,-0.54765499
31618,-0.81999999
31931,0.25999999
32970,-0.44999999
32996,-0.44
33317,-0.51999998
33377,-0.36000001
33489,-0.31
33560,0.0099999998
34841,-0.16
35343,-1.35
35385,-1.2
35661,-0.13
37467,-0.02
37474,0.059999999000000005
37741,-0.44
38351,-0.1
38390,-0.57999998
38988,-0.36000001
39027,-0.31
39109,-0.039999999
39633,-0.74000001
39836,-0.07
39933,-0.83999997
40108,-1.03
40739,-0.44
40825,-0.80000001
40830,-0.09000000400000001
41469,-0.039999999
41556,-0.44999999
42799,0.30000001
43435,-0.20999999
43578,-0.31999999
43742,-0.23
43852,-0.46000001
43958,-0.5
44053,-0.1
44097,-0.41
44914,-0.34
45055,-0.20999999
45486,-0.50999999
46256,-0.25999999
46451,-0.52999997
46717,-0.63
46896,-0.85000002
47487,-0.09000000400000001
48287,-0.69
48480,-0.12
49076,-0.38999999
50249,0.039999999
50493,-0.34
50698,-0.51999998
52397,-0.28999999
53175,-1.02
54169,0.14
54205,-0.37
55404,-0.82999998
55736,-0.46000001
56348,-1.09
57475,-0.28999999
57636,-0.25999999
57766,-0.40000001
58116,-0.79000002
58173,-0.47
59132,-0.14
59960,-0.050000000999999995
60335,-0.44
60571,-0.029999999
62067,-0.77999997
62759,-0.72000003
63298,-0.22
63333,-0.73000002
64785,-0.69
65234,-0.34305701
65548,-0.16
69802,0.0
69807,0.039999999
69879,-0.75
70617,-0.1
71287,-0.63
72961,-0.46000001
73168,-0.30000001
73530,-0.74000001
73810,-0.09000000400000001
73813,-0.27000001
74058,-0.5
74778,-0.57999998
74811,-0.25
75821,-0.2
76394,-0.57999998
76638,-0.31
79830,-0.56999999
80054,-0.02
81835,0.25
81893,-0.5
82740,-0.61000001
83636,-0.30000001
83646,-0.56
84441,-0.31999999
84585,-0.67000002
84666,-0.19
84822,-0.99000001
85077,-0.51999998
85548,-0.80000001
85826,-0.88
302,0.029999999
3407,-0.36000001
5223,-0.63999999
5418,-0.25
