,ID,Teff,logg,MH
7588,246820534,7252.0,4.0539098,
7601,63724780,4715.0,4.55123,
7671,12420098,5306.0,4.5913901,
7679,12475073,5462.0,4.556729799999999,
7732,327996109,5513.0,4.2701001,
7745,12359257,5719.0,4.5070600999999995,
7772,313891283,5424.0,4.530449900000001,
7819,12359266,5567.0,4.5477300000000005,
7833,313891287,5864.0,4.318160099999999,
7841,12420114,6338.0,4.1760001,
7890,327996126,4859.0,4.553979900000001,
7932,12420123,5345.5,4.4658699,-0.56999999
7952,12393928,5667.0,4.4193301,
7968,12475097,6103.0,4.157949899999999,
8005,313891321,5585.8999,3.6906199,-1.15
8027,12393936,6129.0,3.86588,
8114,12359291,6012.0,4.4737902,
8115,12359292,5545.6699,4.4980898,
8118,12359295,5740.0,4.5692300999999995,
8248,12393958,5927.0,4.1585999,
8328,12393961,5959.0,4.421629900000001,
8444,246820613,5779.0,4.318910099999999,
8545,246820617,6722.0,3.4714899,
8645,12359345,6045.0,4.372260099999999,
8712,12359351,5967.0,4.0594802,
8787,246844357,5756.0,4.2423701,
8812,12394003,5586.0,4.329070099999999,
8851,12509167,5573.0,4.4738498,
8922,246820647,7312.0,4.27877,
8930,12377543,6476.0,4.27665,
8996,313891494,5948.0,4.473869799999999,
9137,12509530,6431.0,4.2218199,
9164,313891529,6173.5,3.7632599,-0.31
9188,12377591,5616.8701,4.0332398000000005,0.18000001
9302,12509545,5140.0,4.62146,
9317,12509195,4158.0,4.5643201,
9382,246844475,5847.0,4.39364,
9437,246820687,6096.0,4.4588599,
9465,12394058,4533.0,4.615570099999999,
9533,246852987,5281.0,4.3264399000000004,
9547,12394064,5437.0,4.1064801,
9571,12420273,4843.0,4.56914,
9608,12510992,5466.0,4.5688,
9679,12509228,5622.0,4.2181101,
9708,313891616,5922.0,4.1205001,
9867,246858795,5707.0,4.3875098,
9898,12420292,6524.2998,4.3773098,-0.34999999
9947,12511020,6213.0,3.9957199,
9979,246820734,5724.0,4.5552602,
9992,12377678,5808.0,4.351170099999999,
10001,12509253,5360.7998,3.8671801,-1.24
10129,12420309,5034.0,4.512720099999999,
10219,313891673,5914.0,4.2190399,
10221,313891678,6038.0,4.414599900000001,
10245,246844599,5845.0,4.2777901,
10252,246853045,6350.0,4.382229799999999,
10272,12511037,4426.0,4.5816498,
10290,246858809,5872.0,4.44241,
10349,12377728,6423.0,4.3942599,
10398,12509496,4609.0,4.498380200000001,
10400,246844600,6213.0,4.426320099999999,
10407,12511042,6131.3999,4.3606300000000005,-0.059999999000000005
10498,12420318,5667.0,4.017839899999999,
10526,12420330,5825.0,4.5513501,
10541,246820769,5905.0,4.2730699,
10620,313933775,5845.0,4.0833402,
10778,12511074,5414.0,3.8917898999999996,
10860,12377785,6503.0,4.3326502,
10875,246853087,6562.0,4.1871099,
10891,246820788,5986.0,4.309019999999999,
10907,12394149,5961.0,4.49266,
10918,12420347,5383.0,3.8314699999999995,
10922,12420351,6297.0,3.9403,
11004,246820795,5536.0,4.0288801,
11021,70858426,5770.0,3.8107900999999997,
11038,12420352,6329.0,4.406300099999999,
11064,313933803,4405.0,4.5051699,
11065,313933804,3568.0,4.84304,
11288,246858982,5755.0,4.269879799999999,
